mesh_heading,tree_number,major_tree_number,major_mesh_heading
Lens Subluxation,C11.510.598,C11,Eye Diseases
Ectopia Lentis,C11.510.598.373,C11,Eye Diseases
Ocular Hypertension,C11.525,C11,Eye Diseases
Glaucoma,C11.525.381,C11,Eye Diseases
"Glaucoma, Angle-Closure",C11.525.381.056,C11,Eye Diseases
"Glaucoma, Neovascular",C11.525.381.348,C11,Eye Diseases
"Glaucoma, Open-Angle",C11.525.381.407,C11,Eye Diseases
Hydrophthalmos,C11.525.381.407.480,C11,Eye Diseases
Low Tension Glaucoma,C11.525.381.703,C11,Eye Diseases
Ocular Hypotension,C11.540,C11,Eye Diseases
Ocular Motility Disorders,C11.590,C11,Eye Diseases
Duane Retraction Syndrome,C11.590.224,C11,Eye Diseases
Miller Fisher Syndrome,C11.590.312,C11,Eye Diseases
"Nystagmus, Pathologic",C11.590.400,C11,Eye Diseases
"Nystagmus, Congenital",C11.590.400.300,C11,Eye Diseases
Oculomotor Nerve Diseases,C11.590.436,C11,Eye Diseases
Adie Syndrome,C11.590.436.200,C11,Eye Diseases
Oculomotor Nerve Injuries,C11.590.436.600,C11,Eye Diseases
Ophthalmoplegia,C11.590.472,C11,Eye Diseases
"Ophthalmoplegia, Chronic Progressive External",C11.590.472.250,C11,Eye Diseases
Kearns-Sayre Syndrome,C11.590.472.250.500,C11,Eye Diseases
Ophthalmoplegic Migraine,C11.590.472.375,C11,Eye Diseases
"Supranuclear Palsy, Progressive",C11.590.472.500,C11,Eye Diseases
Opsoclonus-Myoclonus Syndrome,C11.590.725,C11,Eye Diseases
Strabismus,C11.590.810,C11,Eye Diseases
Esotropia,C11.590.810.400,C11,Eye Diseases
Exotropia,C11.590.810.440,C11,Eye Diseases
Tolosa-Hunt Syndrome,C11.590.905,C11,Eye Diseases
Optic Nerve Diseases,C11.640,C11,Eye Diseases
Low Tension Glaucoma,C11.640.225,C11,Eye Diseases
Optic Atrophy,C11.640.451,C11,Eye Diseases
"Optic Atrophies, Hereditary",C11.640.451.451,C11,Eye Diseases
"Optic Atrophy, Autosomal Dominant",C11.640.451.451.100,C11,Eye Diseases
"Optic Atrophy, Hereditary, Leber",C11.640.451.451.400,C11,Eye Diseases
Wolfram Syndrome,C11.640.451.451.980,C11,Eye Diseases
Optic Disk Drusen,C11.640.513,C11,Eye Diseases
Optic Nerve Hypoplasia,C11.640.522,C11,Eye Diseases
Optic Nerve Injuries,C11.640.530,C11,Eye Diseases
Toxic Optic Neuropathy,C11.640.530.500,C11,Eye Diseases
Optic Nerve Neoplasms,C11.640.544,C11,Eye Diseases
Optic Nerve Glioma,C11.640.544.500,C11,Eye Diseases
Optic Neuritis,C11.640.576,C11,Eye Diseases
Neuromyelitis Optica,C11.640.576.695,C11,Eye Diseases
"Optic Neuropathy, Ischemic",C11.640.643,C11,Eye Diseases
Papilledema,C11.640.710,C11,Eye Diseases
Orbital Diseases,C11.675,C11,Eye Diseases
Enophthalmos,C11.675.319,C11,Eye Diseases
Exophthalmos,C11.675.349,C11,Eye Diseases
Graves Disease,C11.675.349.500,C11,Eye Diseases
Graves Ophthalmopathy,C11.675.349.500.500,C11,Eye Diseases
Orbital Cellulitis,C11.675.387,C11,Eye Diseases
Orbital Myositis,C11.675.426,C11,Eye Diseases
Orbital Neoplasms,C11.675.659,C11,Eye Diseases
Orbital Pseudotumor,C11.675.679,C11,Eye Diseases
Pott Puffy Tumor,C11.675.689,C11,Eye Diseases
Retrobulbar Hemorrhage,C11.675.700,C11,Eye Diseases
Pupil Disorders,C11.710,C11,Eye Diseases
Anisocoria,C11.710.090,C11,Eye Diseases
Miosis,C11.710.528,C11,Eye Diseases
Horner Syndrome,C11.710.528.500,C11,Eye Diseases
Mydriasis,C11.710.570,C11,Eye Diseases
Tonic Pupil,C11.710.800,C11,Eye Diseases
Adie Syndrome,C11.710.800.180,C11,Eye Diseases
Refractive Errors,C11.744,C11,Eye Diseases
Aniseikonia,C11.744.116,C11,Eye Diseases
Anisometropia,C11.744.126,C11,Eye Diseases
Astigmatism,C11.744.212,C11,Eye Diseases
Corneal Wavefront Aberration,C11.744.345,C11,Eye Diseases
Hyperopia,C11.744.479,C11,Eye Diseases
Myopia,C11.744.636,C11,Eye Diseases
"Myopia, Degenerative",C11.744.636.500,C11,Eye Diseases
Presbyopia,C11.744.786,C11,Eye Diseases
Retinal Diseases,C11.768,C11,Eye Diseases
Angioid Streaks,C11.768.094,C11,Eye Diseases
Central Serous Chorioretinopathy,C11.768.175,C11,Eye Diseases
Cone Dystrophy,C11.768.216,C11,Eye Diseases
Diabetic Retinopathy,C11.768.257,C11,Eye Diseases
Epiretinal Membrane,C11.768.328,C11,Eye Diseases
Familial Exudative Vitreoretinopathies,C11.768.337,C11,Eye Diseases
Hypertensive Retinopathy,C11.768.346,C11,Eye Diseases
Retinal Arterial Macroaneurysm,C11.768.346.500,C11,Eye Diseases
Leber Congenital Amaurosis,C11.768.364,C11,Eye Diseases
Retinal Artery Occlusion,C11.768.400,C11,Eye Diseases
Susac Syndrome,C11.768.400.500,C11,Eye Diseases
Retinal Degeneration,C11.768.585,C11,Eye Diseases
Macular Degeneration,C11.768.585.439,C11,Eye Diseases
Geographic Atrophy,C11.768.585.439.122,C11,Eye Diseases
Macular Edema,C11.768.585.439.245,C11,Eye Diseases
Stargardt Disease,C11.768.585.439.339,C11,Eye Diseases
Vitelliform Macular Dystrophy,C11.768.585.439.433,C11,Eye Diseases
Wet Macular Degeneration,C11.768.585.439.622,C11,Eye Diseases
Retinal Drusen,C11.768.585.585,C11,Eye Diseases
Retinal Dystrophies,C11.768.585.658,C11,Eye Diseases
Cone-Rod Dystrophies,C11.768.585.658.250,C11,Eye Diseases
Retinitis Pigmentosa,C11.768.585.658.500,C11,Eye Diseases
Kearns-Sayre Syndrome,C11.768.585.658.500.627,C11,Eye Diseases
Usher Syndromes,C11.768.585.658.500.813,C11,Eye Diseases
Retinoschisis,C11.768.585.865,C11,Eye Diseases
Retinal Detachment,C11.768.648,C11,Eye Diseases
Retinal Dysplasia,C11.768.660,C11,Eye Diseases
Retinal Hemorrhage,C11.768.710,C11,Eye Diseases
Retinal Neoplasms,C11.768.717,C11,Eye Diseases
Retinoblastoma,C11.768.717.760,C11,Eye Diseases
Retinal Neovascularization,C11.768.725,C11,Eye Diseases
Retinal Perforations,C11.768.740,C11,Eye Diseases
Retinal Telangiectasis,C11.768.748,C11,Eye Diseases
Retinal Vasculitis,C11.768.757,C11,Eye Diseases
Retinal Vein Occlusion,C11.768.760,C11,Eye Diseases
Retinitis,C11.768.773,C11,Eye Diseases
Chorioretinitis,C11.768.773.348,C11,Eye Diseases
Birdshot Chorioretinopathy,C11.768.773.348.500,C11,Eye Diseases
Cytomegalovirus Retinitis,C11.768.773.360,C11,Eye Diseases
"Retinal Necrosis Syndrome, Acute",C11.768.773.674,C11,Eye Diseases
Retinopathy of Prematurity,C11.768.836,C11,Eye Diseases
"Vitreoretinopathy, Proliferative",C11.768.890,C11,Eye Diseases
Scleral Diseases,C11.790,C11,Eye Diseases
Scleritis,C11.790.500,C11,Eye Diseases
Uveal Diseases,C11.941,C11,Eye Diseases
Choroid Diseases,C11.941.160,C11,Eye Diseases
Choroid Hemorrhage,C11.941.160.177,C11,Eye Diseases
Choroid Neoplasms,C11.941.160.238,C11,Eye Diseases
Choroidal Effusions,C11.941.160.241,C11,Eye Diseases
Cyclodialysis Clefts,C11.941.160.241.250,C11,Eye Diseases
Uveal Effusion Syndrome,C11.941.160.241.500,C11,Eye Diseases
Choroidal Neovascularization,C11.941.160.244,C11,Eye Diseases
Choroideremia,C11.941.160.300,C11,Eye Diseases
Choroiditis,C11.941.160.478,C11,Eye Diseases
Chorioretinitis,C11.941.160.478.400,C11,Eye Diseases
Birdshot Chorioretinopathy,C11.941.160.478.400.500,C11,Eye Diseases
Multifocal Choroiditis,C11.941.160.478.550,C11,Eye Diseases
Pars Planitis,C11.941.160.478.700,C11,Eye Diseases
Gyrate Atrophy,C11.941.160.578,C11,Eye Diseases
Iris Diseases,C11.941.375,C11,Eye Diseases
Aniridia,C11.941.375.060,C11,Eye Diseases
WAGR Syndrome,C11.941.375.060.950,C11,Eye Diseases
Exfoliation Syndrome,C11.941.375.285,C11,Eye Diseases
Iridocorneal Endothelial Syndrome,C11.941.375.322,C11,Eye Diseases
Iridocyclitis,C11.941.375.360,C11,Eye Diseases
Iris Neoplasms,C11.941.375.375,C11,Eye Diseases
Iritis,C11.941.375.385,C11,Eye Diseases
Uveal Neoplasms,C11.941.855,C11,Eye Diseases
Choroid Neoplasms,C11.941.855.198,C11,Eye Diseases
Iris Neoplasms,C11.941.855.400,C11,Eye Diseases
Uveitis,C11.941.879,C11,Eye Diseases
Panuveitis,C11.941.879.780,C11,Eye Diseases
"Ophthalmia, Sympathetic",C11.941.879.780.500,C11,Eye Diseases
"Uveitis, Anterior",C11.941.879.780.880,C11,Eye Diseases
Behcet Syndrome,C11.941.879.780.880.200,C11,Eye Diseases
Iridocyclitis,C11.941.879.780.880.400,C11,Eye Diseases
Iritis,C11.941.879.780.880.448,C11,Eye Diseases
"Uveitis, Posterior",C11.941.879.780.900,C11,Eye Diseases
Choroiditis,C11.941.879.780.900.300,C11,Eye Diseases
Chorioretinitis,C11.941.879.780.900.300.318,C11,Eye Diseases
Birdshot Chorioretinopathy,C11.941.879.780.900.300.318.500,C11,Eye Diseases
Multifocal Choroiditis,C11.941.879.780.900.300.489,C11,Eye Diseases
Pars Planitis,C11.941.879.780.900.300.659,C11,Eye Diseases
White Dot Syndromes,C11.941.879.780.900.650,C11,Eye Diseases
Birdshot Chorioretinopathy,C11.941.879.780.900.650.250,C11,Eye Diseases
Multifocal Choroiditis,C11.941.879.780.900.650.500,C11,Eye Diseases
"Uveitis, Intermediate",C11.941.879.900,C11,Eye Diseases
Pars Planitis,C11.941.879.900.500,C11,Eye Diseases
"Uveitis, Suppurative",C11.941.879.960,C11,Eye Diseases
Panophthalmitis,C11.941.879.960.580,C11,Eye Diseases
Uveomeningoencephalitic Syndrome,C11.941.879.980,C11,Eye Diseases
Vision Disorders,C11.966,C11,Eye Diseases
Amblyopia,C11.966.073,C11,Eye Diseases
Blindness,C11.966.075,C11,Eye Diseases
Amaurosis Fugax,C11.966.075.125,C11,Eye Diseases
"Blindness, Cortical",C11.966.075.250,C11,Eye Diseases
Deaf-Blind Disorders,C11.966.075.375,C11,Eye Diseases
Usher Syndromes,C11.966.075.375.500,C11,Eye Diseases
Wolfram Syndrome,C11.966.075.375.750,C11,Eye Diseases
Hemianopsia,C11.966.075.500,C11,Eye Diseases
Color Vision Defects,C11.966.256,C11,Eye Diseases
Diplopia,C11.966.339,C11,Eye Diseases
Night Blindness,C11.966.671,C11,Eye Diseases
Photophobia,C11.966.741,C11,Eye Diseases
Scotoma,C11.966.811,C11,Eye Diseases
Susac Syndrome,C11.966.858,C11,Eye Diseases
"Vision, Low",C11.966.905,C11,Eye Diseases
Vitreous Detachment,C11.980,C11,Eye Diseases
Urogenital Diseases,C12,C12,Urogenital Diseases
Female Urogenital Diseases and Pregnancy Complications,C12.050,C12,Urogenital Diseases
Female Urogenital Diseases,C12.050.351,C12,Urogenital Diseases
"Genital Diseases, Female",C12.050.351.500,C12,Urogenital Diseases
Adnexal Diseases,C12.050.351.500.056,C12,Urogenital Diseases
Fallopian Tube Diseases,C12.050.351.500.056.390,C12,Urogenital Diseases
Fallopian Tube Neoplasms,C12.050.351.500.056.390.390,C12,Urogenital Diseases
Salpingitis,C12.050.351.500.056.390.890,C12,Urogenital Diseases
Ovarian Diseases,C12.050.351.500.056.630,C12,Urogenital Diseases
Anovulation,C12.050.351.500.056.630.050,C12,Urogenital Diseases
"Menopause, Premature",C12.050.351.500.056.630.250,C12,Urogenital Diseases
Oophoritis,C12.050.351.500.056.630.450,C12,Urogenital Diseases
Ovarian Cysts,C12.050.351.500.056.630.580,C12,Urogenital Diseases
Polycystic Ovary Syndrome,C12.050.351.500.056.630.580.765,C12,Urogenital Diseases
Ovarian Hyperstimulation Syndrome,C12.050.351.500.056.630.642,C12,Urogenital Diseases
Ovarian Neoplasms,C12.050.351.500.056.630.705,C12,Urogenital Diseases
Brenner Tumor,C12.050.351.500.056.630.705.265,C12,Urogenital Diseases
"Carcinoma, Endometrioid",C12.050.351.500.056.630.705.331,C12,Urogenital Diseases
"Carcinoma, Ovarian Epithelial",C12.050.351.500.056.630.705.350,C12,Urogenital Diseases
Granulosa Cell Tumor,C12.050.351.500.056.630.705.398,C12,Urogenital Diseases
Hereditary Breast and Ovarian Cancer Syndrome,C12.050.351.500.056.630.705.431,C12,Urogenital Diseases
Luteoma,C12.050.351.500.056.630.705.464,C12,Urogenital Diseases
Meigs Syndrome,C12.050.351.500.056.630.705.531,C12,Urogenital Diseases
Sertoli-Leydig Cell Tumor,C12.050.351.500.056.630.705.648,C12,Urogenital Diseases
Thecoma,C12.050.351.500.056.630.705.765,C12,Urogenital Diseases
Ovarian Torsion,C12.050.351.500.056.630.728,C12,Urogenital Diseases
Primary Ovarian Insufficiency,C12.050.351.500.056.630.750,C12,Urogenital Diseases
Pelvic Inflammatory Disease,C12.050.351.500.056.750,C12,Urogenital Diseases
Endometritis,C12.050.351.500.056.750.249,C12,Urogenital Diseases
Oophoritis,C12.050.351.500.056.750.500,C12,Urogenital Diseases
Parametritis,C12.050.351.500.056.750.750,C12,Urogenital Diseases
Salpingitis,C12.050.351.500.056.750.875,C12,Urogenital Diseases
Dyspareunia,C12.050.351.500.110,C12,Urogenital Diseases
Endometriosis,C12.050.351.500.163,C12,Urogenital Diseases
Gynatresia,C12.050.351.500.320,C12,Urogenital Diseases
Herpes Genitalis,C12.050.351.500.342,C12,Urogenital Diseases
"Infertility, Female",C12.050.351.500.498,C12,Urogenital Diseases
Reproductive Tract Infections,C12.050.351.500.630,C12,Urogenital Diseases
"Tuberculosis, Female Genital",C12.050.351.500.758,C12,Urogenital Diseases
Uterine Diseases,C12.050.351.500.852,C12,Urogenital Diseases
Adenomyosis,C12.050.351.500.852.113,C12,Urogenital Diseases
Endometrial Hyperplasia,C12.050.351.500.852.228,C12,Urogenital Diseases
Endometritis,C12.050.351.500.852.299,C12,Urogenital Diseases
Hematometra,C12.050.351.500.852.495,C12,Urogenital Diseases
Pyometra,C12.050.351.500.852.544,C12,Urogenital Diseases
Uterine Cervical Diseases,C12.050.351.500.852.593,C12,Urogenital Diseases
Uterine Cervical Dysplasia,C12.050.351.500.852.593.074,C12,Urogenital Diseases
Atypical Squamous Cells of the Cervix,C12.050.351.500.852.593.074.249,C12,Urogenital Diseases
Squamous Intraepithelial Lesions of the Cervix,C12.050.351.500.852.593.074.500,C12,Urogenital Diseases
Uterine Cervical Erosion,C12.050.351.500.852.593.112,C12,Urogenital Diseases
Uterine Cervical Incompetence,C12.050.351.500.852.593.120,C12,Urogenital Diseases
Uterine Cervical Neoplasms,C12.050.351.500.852.593.131,C12,Urogenital Diseases
Uterine Cervicitis,C12.050.351.500.852.593.150,C12,Urogenital Diseases
Uterine Hemorrhage,C12.050.351.500.852.691,C12,Urogenital Diseases
Menorrhagia,C12.050.351.500.852.691.449,C12,Urogenital Diseases
Metrorrhagia,C12.050.351.500.852.691.622,C12,Urogenital Diseases
Uterine Inversion,C12.050.351.500.852.726,C12,Urogenital Diseases
Uterine Neoplasms,C12.050.351.500.852.762,C12,Urogenital Diseases
Endometrial Neoplasms,C12.050.351.500.852.762.200,C12,Urogenital Diseases
Endometrial Stromal Tumors,C12.050.351.500.852.762.200.500,C12,Urogenital Diseases
"Sarcoma, Endometrial Stromal",C12.050.351.500.852.762.200.500.500,C12,Urogenital Diseases
Uterine Cervical Neoplasms,C12.050.351.500.852.762.850,C12,Urogenital Diseases
Uterine Prolapse,C12.050.351.500.852.833,C12,Urogenital Diseases
Uterine Retroversion,C12.050.351.500.852.900,C12,Urogenital Diseases
Uterine Rupture,C12.050.351.500.852.904,C12,Urogenital Diseases
Uterine Perforation,C12.050.351.500.852.904.500,C12,Urogenital Diseases
Vaginal Diseases,C12.050.351.500.894,C12,Urogenital Diseases
Hematocolpos,C12.050.351.500.894.300,C12,Urogenital Diseases
Hydrocolpos,C12.050.351.500.894.500,C12,Urogenital Diseases
Vaginal Discharge,C12.050.351.500.894.700,C12,Urogenital Diseases
Leukorrhea,C12.050.351.500.894.700.500,C12,Urogenital Diseases
Vaginal Fistula,C12.050.351.500.894.767,C12,Urogenital Diseases
Rectovaginal Fistula,C12.050.351.500.894.767.249,C12,Urogenital Diseases
Vesicovaginal Fistula,C12.050.351.500.894.767.500,C12,Urogenital Diseases
Vaginal Neoplasms,C12.050.351.500.894.834,C12,Urogenital Diseases
Vaginismus,C12.050.351.500.894.870,C12,Urogenital Diseases
Vaginitis,C12.050.351.500.894.906,C12,Urogenital Diseases
Atrophic Vaginitis,C12.050.351.500.894.906.316,C12,Urogenital Diseases
Trichomonas Vaginitis,C12.050.351.500.894.906.633,C12,Urogenital Diseases
"Vaginosis, Bacterial",C12.050.351.500.894.906.800,C12,Urogenital Diseases
Vulvovaginitis,C12.050.351.500.894.906.820,C12,Urogenital Diseases
"Candidiasis, Vulvovaginal",C12.050.351.500.894.906.820.500,C12,Urogenital Diseases
Vaginismus,C12.050.351.500.919,C12,Urogenital Diseases
Vulvar Diseases,C12.050.351.500.944,C12,Urogenital Diseases
Pruritus Vulvae,C12.050.351.500.944.626,C12,Urogenital Diseases
Vulvar Lichen Sclerosus,C12.050.351.500.944.815,C12,Urogenital Diseases
Vulvar Neoplasms,C12.050.351.500.944.819,C12,Urogenital Diseases
Vulvitis,C12.050.351.500.944.902,C12,Urogenital Diseases
Vulvar Vestibulitis,C12.050.351.500.944.902.368,C12,Urogenital Diseases
Vulvovaginitis,C12.050.351.500.944.902.737,C12,Urogenital Diseases
"Candidiasis, Vulvovaginal",C12.050.351.500.944.902.737.500,C12,Urogenital Diseases
Vulvodynia,C12.050.351.500.944.951,C12,Urogenital Diseases
Pelvic Floor Disorders,C12.050.351.625,C12,Urogenital Diseases
"Tuberculosis, Urogenital",C12.050.351.750,C12,Urogenital Diseases
"Tuberculosis, Female Genital",C12.050.351.750.940,C12,Urogenital Diseases
"Tuberculosis, Renal",C12.050.351.750.970,C12,Urogenital Diseases
Urogenital Abnormalities,C12.050.351.875,C12,Urogenital Diseases
Bladder Exstrophy,C12.050.351.875.132,C12,Urogenital Diseases
Disorders of Sex Development,C12.050.351.875.253,C12,Urogenital Diseases
"46, XX Disorders of Sex Development",C12.050.351.875.253.064,C12,Urogenital Diseases
"46, XX Testicular Disorders of Sex Development",C12.050.351.875.253.064.124,C12,Urogenital Diseases
"Gonadal Dysgenesis, 46,XX",C12.050.351.875.253.064.249,C12,Urogenital Diseases
Hyperandrogenism,C12.050.351.875.253.064.500,C12,Urogenital Diseases
Adrenogenital Syndrome,C12.050.351.875.253.090,C12,Urogenital Diseases
"Adrenal Hyperplasia, Congenital",C12.050.351.875.253.090.500,C12,Urogenital Diseases
Hyperandrogenism,C12.050.351.875.253.090.750,C12,Urogenital Diseases
"Disorder of Sex Development, 46,XY",C12.050.351.875.253.096,C12,Urogenital Diseases
Androgen-Insensitivity Syndrome,C12.050.351.875.253.096.500,C12,Urogenital Diseases
Denys-Drash Syndrome,C12.050.351.875.253.096.562,C12,Urogenital Diseases
Frasier Syndrome,C12.050.351.875.253.096.624,C12,Urogenital Diseases
"Gonadal Dysgenesis, 46,XY",C12.050.351.875.253.096.687,C12,Urogenital Diseases
Gonadoblastoma,C12.050.351.875.253.096.687.500,C12,Urogenital Diseases
Kallmann Syndrome,C12.050.351.875.253.096.750,C12,Urogenital Diseases
WAGR Syndrome,C12.050.351.875.253.096.875,C12,Urogenital Diseases
Gonadal Dysgenesis,C12.050.351.875.253.309,C12,Urogenital Diseases
"Gonadal Dysgenesis, 46,XX",C12.050.351.875.253.309.193,C12,Urogenital Diseases
"Gonadal Dysgenesis, 46,XY",C12.050.351.875.253.309.388,C12,Urogenital Diseases
Gonadoblastoma,C12.050.351.875.253.309.388.500,C12,Urogenital Diseases
"Gonadal Dysgenesis, Mixed",C12.050.351.875.253.309.391,C12,Urogenital Diseases
Sexual Infantilism,C12.050.351.875.253.309.631,C12,Urogenital Diseases
Turner Syndrome,C12.050.351.875.253.309.872,C12,Urogenital Diseases
Ovotesticular Disorders of Sex Development,C12.050.351.875.253.343,C12,Urogenital Diseases
Sex Chromosome Disorders of Sex Development,C12.050.351.875.253.795,C12,Urogenital Diseases
Freemartinism,C12.050.351.875.253.795.124,C12,Urogenital Diseases
"Gonadal Dysgenesis, Mixed",C12.050.351.875.253.795.249,C12,Urogenital Diseases
Klinefelter Syndrome,C12.050.351.875.253.795.500,C12,Urogenital Diseases
Turner Syndrome,C12.050.351.875.253.795.750,C12,Urogenital Diseases
Epispadias,C12.050.351.875.374,C12,Urogenital Diseases
Fraser Syndrome,C12.050.351.875.397,C12,Urogenital Diseases
Fused Kidney,C12.050.351.875.420,C12,Urogenital Diseases
Hypospadias,C12.050.351.875.466,C12,Urogenital Diseases
Multicystic Dysplastic Kidney,C12.050.351.875.558,C12,Urogenital Diseases
"Nephritis, Hereditary",C12.050.351.875.742,C12,Urogenital Diseases
Retrocaval Ureter,C12.050.351.875.811,C12,Urogenital Diseases
Solitary Kidney,C12.050.351.875.846,C12,Urogenital Diseases
Urinary Fistula,C12.050.351.875.881,C12,Urogenital Diseases
Urinary Bladder Fistula,C12.050.351.875.881.312,C12,Urogenital Diseases
Vesicovaginal Fistula,C12.050.351.875.881.312.733,C12,Urogenital Diseases
Urogenital Neoplasms,C12.050.351.937,C12,Urogenital Diseases
"Genital Neoplasms, Female",C12.050.351.937.418,C12,Urogenital Diseases
Fallopian Tube Neoplasms,C12.050.351.937.418.365,C12,Urogenital Diseases
Ovarian Neoplasms,C12.050.351.937.418.685,C12,Urogenital Diseases
Brenner Tumor,C12.050.351.937.418.685.265,C12,Urogenital Diseases
"Carcinoma, Endometrioid",C12.050.351.937.418.685.331,C12,Urogenital Diseases
"Carcinoma, Ovarian Epithelial",C12.050.351.937.418.685.350,C12,Urogenital Diseases
Granulosa Cell Tumor,C12.050.351.937.418.685.398,C12,Urogenital Diseases
Hereditary Breast and Ovarian Cancer Syndrome,C12.050.351.937.418.685.431,C12,Urogenital Diseases
Luteoma,C12.050.351.937.418.685.464,C12,Urogenital Diseases
Meigs Syndrome,C12.050.351.937.418.685.531,C12,Urogenital Diseases
Sertoli-Leydig Cell Tumor,C12.050.351.937.418.685.648,C12,Urogenital Diseases
Thecoma,C12.050.351.937.418.685.765,C12,Urogenital Diseases
Uterine Neoplasms,C12.050.351.937.418.875,C12,Urogenital Diseases
Endometrial Neoplasms,C12.050.351.937.418.875.200,C12,Urogenital Diseases
"Carcinoma, Endometrioid",C12.050.351.937.418.875.200.124,C12,Urogenital Diseases
Endometrial Stromal Tumors,C12.050.351.937.418.875.200.374,C12,Urogenital Diseases
"Sarcoma, Endometrial Stromal",C12.050.351.937.418.875.200.374.500,C12,Urogenital Diseases
Uterine Cervical Neoplasms,C12.050.351.937.418.875.850,C12,Urogenital Diseases
Vaginal Neoplasms,C12.050.351.937.418.937,C12,Urogenital Diseases
Vulvar Neoplasms,C12.050.351.937.418.968,C12,Urogenital Diseases
Urologic Neoplasms,C12.050.351.937.820,C12,Urogenital Diseases
Kidney Neoplasms,C12.050.351.937.820.535,C12,Urogenital Diseases
"Carcinoma, Renal Cell",C12.050.351.937.820.535.160,C12,Urogenital Diseases
Wilms Tumor,C12.050.351.937.820.535.585,C12,Urogenital Diseases
Denys-Drash Syndrome,C12.050.351.937.820.535.585.220,C12,Urogenital Diseases
WAGR Syndrome,C12.050.351.937.820.535.585.950,C12,Urogenital Diseases
"Nephroma, Mesoblastic",C12.050.351.937.820.535.790,C12,Urogenital Diseases
Ureteral Neoplasms,C12.050.351.937.820.875,C12,Urogenital Diseases
Urethral Neoplasms,C12.050.351.937.820.890,C12,Urogenital Diseases
Urinary Bladder Neoplasms,C12.050.351.937.820.945,C12,Urogenital Diseases
Urologic Diseases,C12.050.351.968,C12,Urogenital Diseases
Kidney Diseases,C12.050.351.968.419,C12,Urogenital Diseases
AIDS-Associated Nephropathy,C12.050.351.968.419.050,C12,Urogenital Diseases
Anuria,C12.050.351.968.419.078,C12,Urogenital Diseases
Diabetes Insipidus,C12.050.351.968.419.135,C12,Urogenital Diseases
"Diabetes Insipidus, Nephrogenic",C12.050.351.968.419.135.500,C12,Urogenital Diseases
"Diabetes Insipidus, Neurogenic",C12.050.351.968.419.135.750,C12,Urogenital Diseases
Wolfram Syndrome,C12.050.351.968.419.135.875,C12,Urogenital Diseases
Diabetic Nephropathies,C12.050.351.968.419.192,C12,Urogenital Diseases
Hepatorenal Syndrome,C12.050.351.968.419.291,C12,Urogenital Diseases
Hydronephrosis,C12.050.351.968.419.307,C12,Urogenital Diseases
Pyonephrosis,C12.050.351.968.419.307.500,C12,Urogenital Diseases
Hyperoxaluria,C12.050.351.968.419.313,C12,Urogenital Diseases
"Hyperoxaluria, Primary",C12.050.351.968.419.313.500,C12,Urogenital Diseases
"Hypertension, Renal",C12.050.351.968.419.331,C12,Urogenital Diseases
"Hypertension, Renovascular",C12.050.351.968.419.331.490,C12,Urogenital Diseases
Kidney Cortex Necrosis,C12.050.351.968.419.393,C12,Urogenital Diseases
"Kidney Diseases, Cystic",C12.050.351.968.419.403,C12,Urogenital Diseases
Medullary Sponge Kidney,C12.050.351.968.419.403.500,C12,Urogenital Diseases
Multicystic Dysplastic Kidney,C12.050.351.968.419.403.750,C12,Urogenital Diseases
Polycystic Kidney Diseases,C12.050.351.968.419.403.875,C12,Urogenital Diseases
"Polycystic Kidney, Autosomal Dominant",C12.050.351.968.419.403.875.500,C12,Urogenital Diseases
"Polycystic Kidney, Autosomal Recessive",C12.050.351.968.419.403.875.510,C12,Urogenital Diseases
Kidney Neoplasms,C12.050.351.968.419.473,C12,Urogenital Diseases
"Carcinoma, Renal Cell",C12.050.351.968.419.473.160,C12,Urogenital Diseases
"Nephroma, Mesoblastic",C12.050.351.968.419.473.372,C12,Urogenital Diseases
Wilms Tumor,C12.050.351.968.419.473.585,C12,Urogenital Diseases
Denys-Drash Syndrome,C12.050.351.968.419.473.585.220,C12,Urogenital Diseases
WAGR Syndrome,C12.050.351.968.419.473.585.950,C12,Urogenital Diseases
Kidney Papillary Necrosis,C12.050.351.968.419.493,C12,Urogenital Diseases
Nephritis,C12.050.351.968.419.570,C12,Urogenital Diseases
Glomerulonephritis,C12.050.351.968.419.570.363,C12,Urogenital Diseases
Anti-Glomerular Basement Membrane Disease,C12.050.351.968.419.570.363.304,C12,Urogenital Diseases
"Glomerulonephritis, IGA",C12.050.351.968.419.570.363.608,C12,Urogenital Diseases
"Glomerulonephritis, Membranoproliferative",C12.050.351.968.419.570.363.615,C12,Urogenital Diseases
"Glomerulonephritis, Membranous",C12.050.351.968.419.570.363.625,C12,Urogenital Diseases
"Glomerulosclerosis, Focal Segmental",C12.050.351.968.419.570.363.640,C12,Urogenital Diseases
Lupus Nephritis,C12.050.351.968.419.570.363.680,C12,Urogenital Diseases
"Nephritis, Hereditary",C12.050.351.968.419.570.620,C12,Urogenital Diseases
"Nephritis, Interstitial",C12.050.351.968.419.570.643,C12,Urogenital Diseases
Balkan Nephropathy,C12.050.351.968.419.570.643.150,C12,Urogenital Diseases
Pyelonephritis,C12.050.351.968.419.570.643.790,C12,Urogenital Diseases
"Pyelonephritis, Xanthogranulomatous",C12.050.351.968.419.570.643.790.810,C12,Urogenital Diseases
Pyelitis,C12.050.351.968.419.570.821,C12,Urogenital Diseases
Pyelocystitis,C12.050.351.968.419.570.821.358,C12,Urogenital Diseases
